"character" "dialogue"
"372" "Thor" "He may be on the team. I don't know. Haven't been there in a while. As for the Soul Stone, well, no one's ever seen that. No one even knows where it is. Therefore, Thanos can't get it. Therefore, he's going to Knowhere. Hence, he'll be getting the Reality Stone. You're welcome."
"373" "Gamora" "Then we have to go to Knowhere now."
"374" "Thor" "Wrong! Where we have to go, is Nivadellir."
"375" "Drax" "That's a made up word."
"376" "Thor" "All words are made up."
"377" "None" "It's official: mind blown."
"378" "Rocket" "Hold up, Nidavellir is real?  Seriously? I mean, that place is a legend.  They make the most powerful, horrific weapons to ever torment the Universe. I would very much like to go there, please."
"379" "Thor" "The rabbit is correct, and clearly the smartest among you."
"380" "Rocket" "Rabbit?"
"381" "Thor" "Only Eitri the dwarf king can make me the weapon I need.  I assume you're the captain, sir?"
"382" "Rocket" "You're very perceptive."
"383" "Thor" "You seem like a noble leader. Will you join me on my quest to Nidavellir?"
"384" "Rocket" "Lemme just ask the captain. Oh, wait a second, it's me! Yeah, I'll go."
"385" "Thor" "Wonderful."
"386" "Peter Quill" "Except for that I'm the captain."
"387" "Thor" "Quiet!"
"388" "Peter Quill" "That's my backpack."
"389" "Rocket" "Go sit down."
"390" "Peter Quill" "Look, this is my ship. And I'm not goin' to…  Wait, what kind of weapon are we talking about here?"
"391" "Thor" "The Thanos killing kind."
"392" "Peter Quill" "Don't you think that we should all have a weapon like that?"
"393" "Thor" "No. You simply lack the strength to wield them. Your bodies will crumble as your minds collapse into the madness."
"394" "Rocket" "Is it weird that I wanna do it even more now?"
"395" "Thor" "A little bit. Yeah."
"396" "Gamora" "If we don't go to Knowhere and Thanos retrieves another stone, he'll be too powerful to stop."
"397" "Thor" "He already is."
"398" "Rocket" "I got it figured out. We got two ships, and a large assortment of morons. So me and Groot will go with the pirate-angel here, and the morons will go to Knowhere to try and stop Thanos. Cool? Cool."
"399" "Thor" "So cool."
"400" "Peter Quill" "For the record… I know that you're only going with him because it's where Thanos isn't."
"401" "Rocket" "You know, you shouldn't talk that way to your captain, Quill.  Come on, Groot. Put that game down, you'll rot your brain."
"402" "Thor" "I bid you farewell and good luck, morons. Bye."
"403" "None" "The Guardians nod or wave farewell as Thor, Rocket and Groot depart."
"404" "None" "Cut to Scotland, where Vision and Wanda Maximoff are sharing a room. Wanda is in bed while Vision, in a human glamour, watches out a window."
"405" "None" "High-pitched trilling"
"406" "Vision" ""
"407" "Wanda Maximoff" "Vis? Is it the stone again?"
"408" "Vision" "It's as if it's speaking to me."
"409" "Wanda Maximoff" "What does it say?"
"410" "Vision" "I don't... I don't know. But something..."
"411" "None" "The stone trills again and Vision flinches. Wanda takes his face in her hands. Vision turns his head so he can kiss her left palm, then presses Wanda's hand to the Mind Stone."
"412" "Vision" "Tell me what you feel."
"413" "None" "Wanda gestures, her hand emanating her red swirling energy. She seems confused."
"414" "Wanda Maximoff" "I just feel you."
"415" "None" "They kiss. Cut to later, where the two are going on a stroll."
"416" "Wanda Maximoff" "So there's a 10 AM to Glasgow to give us more time together before you went back."
"417" "Vision" "What if I miss that train?"
"418" "Wanda Maximoff" "There is an 11."
"419" "Vision" "What if I missed all the trains? What if this time, I didn't go back?"
"420" "Wanda Maximoff" "You gave Stark your word."
"421" "Vision" "I'd rather give it to you."
"422" "Wanda Maximoff" "There are people who are expecting me too, you know. We both made promises."
"423" "Vision" "Not to each other.  Wanda… for two years, we've stolen these moments, trying to see if this could work. And... I don't know.  You know what, I'm just gonna speak for myself -- I, I... I think..."
"424" "Wanda Maximoff" "It works."
"425" "Vision" "It works."
"426" "Vision" "Then stay. Stay with me."
"427" "None" "Wanda looks down, but then her eyes and attention drift to her left."
"428" "Vision" "Or not. If I'm overstepping…"
"429" "None" "Wanda steps over to a better view of the TV in the kebab shop at which they had stopped, drawing Vision with her. It shows coverage of the invasion of New York, the alien antagonists, and the disappearance of Tony Stark."
"430" "Wanda Maximoff" "What are they?"
"431" "Vision" "What the stone was warning me about.  I have to go."
"432" "Wanda Maximoff" "No, Vision. Vision, if that's true… then maybe going isn't the best idea."
"433" "Vision" "Wanda...I-"
"434" "None" "Corvus Glaive suddenly appears behind Vision and stabs him through the back. Vision screams, loses his glamour to return to his green, red and gold appearance, and is thrown down into the street."
"435" "Wanda Maximoff" "Vision!"
"436" "None" "Corvus Glaive pins Vision down and digs the point of his high-tech glaive into Vision's forehead in an attempt to extract the Mind Stone."
"437" "None" "The Scarlet Witch commits her own surprise attack, blasts both of the aliens away, then lifts Vision and herself into a nearby courtyard, from where the Scarlet Witch drags him to rest in a concealed alleyway."
"438" "Vision" "The blade. It stopped me from phasing."
"439" "Wanda Maximoff" "Is that even possible?"
"440" "Vision" "It isn't supposed to be.  My systems are failing.  I'm beginning to think... we should have stayed in bed."
"441" "None" "Corvus Glaive suddenly arrives, knocking the Scarlet aside and grabbing Vision into the air,"
"442" "Wanda Maximoff" "Vis!"
"443" "None" "Corvus flies away with Vision, slamming him against several walls. Meanwhile, Proxima engages the Scarlet Witch with her staff weapon and they too begin to fight."
"444" "Corvus Glaive" "Give up the Stone, and she lives."
"445" "None" "Vision flies with Corvus to the roof of what appears to be a church, ricocheting off the stone church tower and onto the metal-clad roof."
"446" "None" "Simultaneously, Proxima and the Scarlet Witch fight below, staff weapon versus magic energy hands until Proxima uses the blaster effect of her weapon to knock the Scarlet Witch meters away, stunning her as Proxima leaps down, brandishing her weapon within bare inches of the Scarlet Witch's face, only held back by the Scarlet Witch's powers"
"447" "None" "Furiously, Vision pummels Corvus, then throws him across the roof, firing a beam from the Mind Stone. Corvus uses his glaive to deflect the beam, splitting it into several beams, cutting up Edinburgh's ancient stone like butter, until one branch finally reflects back at Vision, slamming him into the wall behind him."
"448" "None" "Down below, the Scarlet Witch has blocked Proxima's staff once again when she hears an agonized cry from Vision. Desperation strengthens her to throw Proxima through the burning lorry sliced in half by the split Stone beam, stunning the alien. The Scarlet Witch then flies up to the roof where Glaive has pinned Vision and is again attempting to remove the Mind Stone."
"449" "Wanda Maximoff" "Hands off."
"450" "None" "The Scarlet Witch casts a bolt of magic which throws Corvus back through the wall and down a shaft, then flies the two of them away again. Proxima, who has recovered, shoots a bolt from her weapon, causing them to fall from the air and down through the roof of Edinburgh Waverley Train Station. Wanda crawls over to Vision, who cannot muster the strength to stand."
"451" "Wanda Maximoff" "Come on. Come on. Come on, you gotta get up. You gotta get up. Come on. Hey. Hey. We have to go."
"452" "Vision" "Please. Please leave."
"453" "Wanda Maximoff" "You asked me to stay.... I'm staying."
"454" "Vision" "Please."
"455" "Wanda Maximoff" "Get up."
"456" "None" "Behind them, Proxima and Corvus crash through the roof and advance on them, brandishing their weapons. the Scarlet Witch moves protectively in front of Vision, building power in her hands."
"457" "None" "An express train passes behind Wanda, and Proxima cocks her head as if aware of another's presence. Confused, the Scarlet Witch also turns and looks over her left shoulder. As the last train car passes, we see a silhouette on the far side of the platform. Proxima throws her weapon at the shadowy figure, but it is deftly caught just before the figure steps from the shadows."
"458" "None" "As the Avengers theme kicks in, we now recognize a bearded and furious Steve Rogers (Captain America) as he steps into the light. Vision and the Scarlet Witch look hopeful and relieved. While all parties are distracted, Sam Wilson (Falcon) swoops in and kicks Proxima across the platform and through the closed cafe's security gate and furniture. Swooping around, he fires on Corvus."
"459" "None" "At the same time, Captain America throws Proxima's weapon to Natasha Romanoff (Black Widow) who engages Corvus, ducking under his swing, stabbing him in the gut and executing a flying kick to knock him backwards."
"460" "None" "Proxima, who has rushed back to the fight, summons her weapon back to her hand and attacks Black Widow. Captain America leaps forward, rolls, scoops up Corvus's dropped glaive and holds her off. Black Widow joins in with her own escrima sticks. While the three are fighting, Falcon returns and again kicks Proxima backwards; she scuttles over to the prone Corvus. Falcon draws both of his Steyr SPP submachine pistols on the couple."
"461" "Proxima Midnight" "Get up."
"462" "Corvus Glaive" "I can't."
"463" "Natasha Romanoff" "We don't wanna kill you. But we will."
"464" "Proxima Midnight" "You'll never get the chance again."
"465" "None" "Proxima Midnight and Corvus Glaive depart as they are beamed up. The glaive is snatched from Captain America's hand as well."
"466" "Sam Wilson" "Can you stand?"
"467" "Vision" "Thank you, Captain."
"468" "Steve Rogers" "Let's get you on the jet."
"469" "Natasha Romanoff" "I thought we had a deal. Stay close, check in. Don't take any chances."
"470" "Wanda Maximoff" "I'm sorry. We just wanted time."
"471" "Sam Wilson" "Where to, Cap?"
"472" "Steve Rogers" "Home."
"473" "None" "Cut to the past, at Gamora's home planet Zen-Whoberi during Thanos' massacre. Gamora and her mother are hiding; the sounds of guns and screaming are outside.]"
"474" "Gamora's Mother" "Shh. We'll be safe. We'll be safe."
"475" "None" "An explosion goes off close by and Gamora screeches by reflex, revealing their hiding spot."
"476" "Child of Thanos" ""
"477" "None" "The door is smashed open and both Zehobereians scream."
"478" "None" "Outside, it is utter chaos. Leviathans, Chitauri chariots and ring-ships fly overhead; explosions and energy bolts from numerous sources criss-cross the panicked population, felling them randomly; smoke arises from countless fires."
"479" "Ebony Maw" "Zehobereians…"
"480" "Young Gamora" "Mother! Where's my mother?!"
"481" "Ebony Maw" "Zen-Whoberis... Choose a side, or die."
"482" "Young Gamora" "Mother!"
"483" "Ebony Maw" "One side is a revelation. The other, an honor known only to a few."
"484" "None" "Gamora turns and finds herself facing Thanos in his full Titan armor."
"485" "Thanos" "What's wrong, little one?"
"486" "Young Gamora" "My mother. Where is my mother?"
"487" "Thanos" "What's your name?"
"488" "Young Gamora" "Gamora."
"489" "Thanos" "You're quite the fighter, Gamora. Come. Let me help you."
"490" "None" "Thanos offers his hand; she wraps her little fingers around one massive finger, and he leads her to a pavilion, where he crouches to her eye level again and produces a small -- for him -- red-jeweled handle. Pressing the switch, razor-sharp blades pop out both ends."
"491" "Thanos" "Look. Pretty, isn't it? Perfectly balanced. As all things should be. Too much to one side, or the other…  Here. You try."
"492" "None" "Thanos hands Gamora the dagger -- the handle is two child-palms' widths in length. She tries balancing it on her index finger."
"493" "Ebony Maw" "Now go in peace, and meet your Maker."
"494" "None" "One half of the crowd is shot down. The survivors scream in horror, and Gamora tries to turn but Thanos prevents her from seeing the massacre."
"495" "Thanos" "Concentrate. There! You've got it."
"496" "None" "Cut to the present, aboard the GUARDIANS’ ship. Gamora is brooding, activates the spring-action blades on the same dagger."
"497" "Peter Quill" "Gamora. Do you know if these grenades are the blow off your junk kind or the gas kind? 'Cause I was thinking I might hang a couple on my belt right here. But I don't want to--"
"498" "Gamora" "I need to ask a favor."
"499" "Peter Quill" "Yeah, sure."
"500" "Gamora" "One way or another, the path that we're on leads to Thanos."
"501" "Peter Quill" "Which is what the grenades are for.  I'm sorry. What's the favor?"
"502" "Gamora" "If things go wrong… If Thanos gets me… I want you to promise me… you'll kill me."
"503" "Peter Quill" "What?"
"504" "Gamora" "I know something he doesn't. If he finds out… the entire Universe could be at risk."
"505" "Peter Quill" "What do you know?"
"506" "Gamora" "If I tell you, you'd know, too."
"507" "Peter Quill" "If it's so important, shouldn't I?"
"508" "Gamora" "Only if you wanna die."
"509" "Peter Quill" "Why does somebody always have to die in this scenario?"
"510" "Gamora" "Just… trust me. And possibly, kill me."
"511" "Peter Quill" "I mean, I'd like to. I really would…"
"512" "Gamora" "Swear to me. Swear to me on your mother."
"513" "Peter Quill" "Okay."
"514" "None" "The two kiss, until an odd crunching sound startles them. Drax is standing in the corner."
"515" "Peter Quill" "Dude. How long have you been standing there?"
"516" "Drax" "An hour."
"517" "Peter Quill" "An hour? Are you serious?"
"518" "Drax" "I've mastered the ability of standing so incredibly still... that I become invisible to the eye... watch."
"519" "None" "Drax stands motionless, then very slowly raises his hand towards his mouth"
"520" "Peter Quill" "You're eating a zarg-nut."
"521" "Drax" "But my movement... was so slow... that it's imperceptible."
"522" "Peter Quill" "Mmm, no."
"523" "Drax" "I'm sure I'm invisible."
"524" "Mantis" "Hi, Drax."
"525" "Drax" "Damn it."
"526" "None" "The Benatar flies towards a massive skull and flies through one eye-hole into a vast interior cavern. Screen title: KNOWHERE."
"527" "Peter Quill" "This place looks deserted."
"528" "Drax" "I'm reading movement from the third quadrant."
"529" "Peter Quill" "Yep. I'm picking that up, too. Let's put it down right here."
"530" "None" "The four Guardians disembark and sneak into the Collector’s collection room, which is in ruins. Thanos is threatening the Collector while the Guardians hide behind rubble."
"531" "Collector" "I don't have it."
"532" "Thanos" "Everyone in the Galaxy knows you'd sell your own brother if you thought it would add the slightest trinket to your pathetic collection."
"533" "None" "Quill stops, and holds up a fist meaning 'halt' in the silent language of soldiers. Everybody walks quietly past him."
"534" "Thanos" "I know you have the Reality Stone, Tivan. Giving it to me will spare you a great deal of suffering."
"535" "Collector" "I told you. I sold it."
"536" "Collector" "Why would I lie?"
"537" "Thanos" "I imagine it's like breathing for you."
"538" "Collector" "Like suicide."
"539" "Thanos" "So you do understand. Not even you would surrender something so precious."
"540" "Collector" "I didn't know what it was."
"541" "Thanos" "Then you're more of a fool than I took you for. Last chance, charlatan. Where's the Stone?"
"542" "Drax" "Today..."
"543" "Peter Quill" "Drax. Drax."
"544" "Drax" "...He pays for the deaths of my wife and daughter."
"545" "Peter Quill" "Drax, waaaaait!  Not yet, not yet, not yet.  Drax, Drax, Drax. He doesn't have the Stone yet. We get it, and then we can stop him. We have to get the Stone first. Yeah."
"546" "Drax" "No. No. For Ovette. For Camaria."
"547" "None" "Quill starts to struggle with Drax when Mantis puts her hand on the back of Drax's head."
"548" "Mantis" "Sleeeep."
"549" "None" "Drax is knocked out, his falling body causing a loud crash. Everybody ducks."
"550" "None" "Thanos looks towards the sound, then picks up the Collector and throws him into a collecting case before walking towards the disturbance."
"551" "Peter Quill" "Okay. Gamora, Mantis, you go right. I'm...  The other right!"
"552" "None" "Gamora leaps on Thanos from a stack of boxes, swinging her sword at him. He snaps the sword-blade in half, and Gamora stabs him in the throat with the stub, his lower jaw sagging and himself letting out a hoarse groan, then he is stabbed in the chest with the red-jeweled dagger."
"553" "Thanos" "Why?  Why you? Daughter…"
"554" "Peter Quill" "That was quick."
"555" "None" "The Collector starts clapping."
"556" "Collector" "Magnificent! Magnificent!!!! Magnificent!!!!!!!"
"557" "None" "Suddenly, Thanos' disembodied voice fills the room."
"558" "Thanos" "Is it sadness I sense in you, daughter? In my heart, I knew you still cared. But one ever knows for sure."
"559" "None" "The scene disappears -- everything in the room is destroyed and/or on fire, the Collector waving bye-bye as he and his case vanish."
"560" "Thanos" "Reality is often disappointing...that is, it was."
"561" "Thanos" "Now… reality can be whatever I want."
"562" "None" "Thanos is quite alive and undamaged. He has the red Reality Stone seated in the Infinity Gauntlet."
"563" "Gamora" "You knew I'd come."
"564" "Thanos" "I counted on it. There's something we need to discuss, little one."
"565" "None" "Gamora hesitates for a beat, then reaches for her broken sword. Thanos grabs her by the back of the neck and swings her around in front of him."
"566" "Gamora" "NOOOOOO!"
"567" "Drax" "THANOS!!!"
"568" "None" "With a pulse of the Reality Stone, both Drax and Mantis are 'disassembled' -- Drax is turned into a stack of tumbling cubes, and Mantis becomes a ribbon version of herself."
"569" "Peter Quill" "Let her go, Grimace!"
"570" "Gamora" "Peter…"
"571" "Peter Quill" "I told you to go right."
"572" "Gamora" "Now? Really?"
"573" "Peter Quill" "You let her go!"
"574" "Thanos" "Ah, the boyfriend."
"575" "Peter Quill" "I like to think of myself more as a Titan-killing long-term booty call. Let her go."
"576" "Gamora" "Peter…"
"577" "Peter Quill" "Or I'm gonna blow that nut sack of a chin right off your face!"
"578" "Gamora" "Not him."
"579" "None" "Quill hesitates. He does not shoot anyone."
"580" "Gamora" "You promised! You promised."
"581" "Thanos" "Oh, daughter. You expect too much from him.  She's asked, hasn't she? Do it. [There is a very tense and unpleasant pause."
"582" "None" "Thanos rolls his head and shoves Gamora towards Quill’s gun, egging him on."
"583" "Thanos" "DO IT!!"
"584" "Peter Quill" "I told you to go right."
"585" "Gamora" "I love you, more than anything."
"586" "Peter Quill" "I love you, too."
"587" "None" "Quill screws up his eyes and pulls the trigger -- but a stream of bubbles comes out. Thanos was playing him."
"588" "Thanos" "I like you."
"589" "None" "Thanos teleports Gamora and himself away as a stunned Quill picks up Gamora's sword, and his friends painfully re-assemble themselves, the Reality Stone's effects now subsiding in its absence."
"590" "None" "Back on Earth, the Quinjet arrives at the upstate New York Avengers HQ while Col. James Rhodey Rhodes deals with the red tape in the holographic person of Secretary of State Thaddeus Ross (Lt. Gen., USA Ret.)."
"591" "Secretary Ross" "Still no word from Vision?"
"592" "James Rhodes" "Satellites lost him somewhere over Edinburgh."
"593" "Secretary Ross" "On a stolen Quinjet with four of the world's most wanted criminals."
"594" "James Rhodes" "You know they're only criminals because you've chosen to call them that, right, sir?"
"595" "Secretary Ross" "My God, Rhodes, your talent for horseshit rivals my own."
"596" "James Rhodes" "If it weren't for those Accords, Vision would've been right here."
"597" "Secretary Ross" "I remember your signature on those papers, Colonel."
"598" "James Rhodes" "That's right. And I'm pretty sure I've paid for that."
"599" "Secretary Ross" "You have second thoughts?"
"600" "James Rhodes" "Not anymore."
"601" "None" "The fugitive Avengers enter the room, Vision supported by Sam."
"602" "Steve Rogers" "Mr. Secretary."
"603" "Secretary Ross" "You got some nerve. I'll give you that."
"604" "Natasha Romanoff" "You could use some of that right now."
"605" "Secretary Ross" "The world's on fire. And you think, all is forgiven?"
"606" "Steve Rogers" "I'm not looking for forgiveness. And I'm way past asking for permission. Earth just lost her best defender. So we're here to fight.  And if you wanna stand in our way... we'll fight you, too."
"607" "Secretary Ross" "Arrest them."
"608" "James Rhodes" "All over it.  That's a court-martial. It's great to see you, Cap."
"609" "Steve Rogers" "You too, Rhodey."
"610" "James Rhodes" "Well. You guys really look like crap. Must've been a rough couple of years."
"611" "Sam Wilson" "Yeah, well, the hotels weren't exactly five star."
"612" "Bruce Banner" "Uh, I think you look great.  Uh... heh... Yeah. I'm back."
"613" "Natasha Romanoff" "Hi, Bruce."
"614" "Bruce Banner" "Nat."
"615" "Sam Wilson" "This is awkward."
"616" "None" "Cut to a shot of Natasha, Bruce, Steve, Rhodey, Wanda, and Vision in another room."
"617" "James Rhodes" "So we gotta assume they're coming back, right?"
"618" "Wanda Maximoff" "And they can clearly find us."
"619" "Bruce Banner" "We need all hands on deck. Where's Clint?"
"620" "Natasha Romanoff" "After the whole Accords situation, he and Scott took a deal. It was too tough on their families, they're on house arrest."
"621" "Bruce Banner" "Who's Scott?"
"622" "Steve Rogers" "Ant-Man."
"623" "Bruce Banner" "There's an Ant-Man and a Spider-Man? Okay, look… Thanos has the biggest army in the universe. And he is not gonna stop until he... he gets... Vision's Stone."
"624" "Natasha Romanoff" "Well then, we have to protect it."
"625" "Vision" "No, we have to destroy it. I've been giving a good deal of thought to this entity in my head, about its nature. But also, its composition. I think if it were exposed to a sufficiently powerful energy source, something, very similar to its own signature, perhaps… its molecular integrity could fail."
"626" "Wanda Maximoff" "And you, with it. We're not having this conversation."
"627" "Vision" "Eliminating the stone is the only way to be certain that Thanos can't get it."
"628" "Wanda Maximoff" "That's too high a price."
"629" "Vision" "Only you have the power to pay it.  Thanos threatens half the Universe. One life cannot stand in the way of defeating him."
"630" "Steve Rogers" "But it should.  We don't trade lives, Vision."
"631" "Vision" "Captain, 70 years ago, you laid down your life to save how many millions of people. Tell me, why is this any different?"
"632" "None" "Steve takes a breath, but before he has a chance to answer, Bruce speaks."
"633" "Bruce Banner" "Because you might have a choice. Your mind is made up of a complex construct of overlays. J.A.R.V.I.S., Ultron, Tony, me, the Stone. All of them mixed together. All of them learning from one another."
"634" "Wanda Maximoff" "You're saying Vision isn't just the stone?"
"635" "Bruce Banner" "I'm saying that if we take out the stone, there's still a whole lot of Vision left. Perhaps the best parts."
"636" "Natasha Romanoff" "Can we do that?"
"637" "Bruce Banner" "Not me. Not here."
"638" "James Rhodes" "You better find someone, and somewhere fast. Ross isn't exactly just gonna let you guys have your old rooms back."
"639" "Steve Rogers" "I know somewhere."
"640" "None" "Cut to rural Wakanda, as King T'Challa and Okoye walk together, accompanied by two Kingsguard. Screen title: WAKANDA."
"641" "Okoye" "You'll have the Kingsguard, and the Dora Milaje have been alerted."
"642" "T'Challa" "And the Border Tribe?"
"643" "Okoye" "Those that are left."
"644" "T'Challa" "Send word to the Jabari as well. M'Baku likes a good fight."
"645" "Okoye" "And what of this one?"
"646" "T'Challa" "This one may be tired of war.  But the White Wolf has rested long enough."
"647" "None" "The party reaches Bucky. A Kingsguards-man sets an elaborate and high-tech-looking equipment case down on the cart, opens the lid, and steps back. As the Winter Soldier approaches, he sees a new Vibranium arm in the case."
"648" "Bucky Barnes" "Where's the fight?"
"649" "T'Challa" "On its way."
"650" "None" "Cut to Ebony Maw interrogating Dr. Strange. Dr. Strange is floating horizontally, face down, and is surrounded by dozens of glassy needles, each about two feet long."
"651" "Ebony Maw" "In all the time I've served Thanos, I've never failed him. If I were to reach our rendezvous on Titan with the Time Stone still attached to your vaguely irritating person, there would be... judgement.  Give me... the stone."
"652" "None" "Cut to Tony who is watching, hidden, from above. The Cloak of Levitation taps Stark on the arm. He raises his hand to it, ready to shoot, but he sees what it is and stands down."
"653" "Tony Stark" "Wow you're a seriously loyal piece of outerwear, aren't you?"
"654" "Peter Parker" "Yeah, uh, speaking of loyalty...."
"655" "None" "Tony and the Cloak turn to face Peter, dropping down from above"
"656" "Tony Stark" "What the--"
"657" "Peter Parker" "I know what you're gonna say."
"658" "Tony Stark" "You should not be here."
"659" "None" "The Cloak moves to stand at Tony's side"
"660" "Peter Parker" "I was gonna go home--"
"661" "Tony Stark" "I don't wanna hear it."
"662" "Peter Parker" "But it was such a long way down and I just thought about you on the way..."
"663" "Tony Stark" "And now I gotta hear it."
"664" "None" "The Cloak shakes its collar in sympathy and shrugs"
"665" "Peter Parker" "...And I kinda stuck to the side of the ship. And this suit is ridiculously intuitive, by the way. So if anything, it's kinda your fault that I'm here."
"666" "Tony Stark" "God damnit..."
"667" "None" "The Cloak looks shocked."
"668" "Tony Stark" "What did you just say?"
"669" "Peter Parker" "I take that back. And now I'm here in space."
"670" "Tony Stark" "Yeah.  Right where I don't want you to be. This isn't Coney Island. This isn't a field trip. It's a one-way ticket. You hear me? Don't pretend like you thought this through. You could not have possibly thought this through."
"671" "Peter Parker" "No. I did think this through."
"672" "Tony Stark" "You could not have possibly thought this through."
"673" "Peter Parker" "It's just...you can't be a friendly neighborhood Spider-Man if there's no neighborhood."
"674" "None" "He waits for Tony's reaction"
"675" "Peter Parker" "Okay. That didn't really make any sense, but you know what I'm trying to say."
"676" "Tony Stark" "Come on. We got a situation.  See him down there? He's in trouble. What's your plan? Go."
"677" "Peter Parker" "Um. Okay, okay... uh...  Okay. Did you ever see this really old movie, Aliens?"
"678" "None" "The Cloak lifts its collar in surprise."
"679" "None" "Cut back to Ebony Maw interrogating Dr. Strange, who groans loudly."
"680" "Ebony Maw" "Painful aren't they? They were originally designed for microsurgery. And any one of them..."
"681" "None" "At the thump behind him, Maw turns to see Iron Man standing there, hand repulsors ready to fire."
"682" "Ebony Maw" "...Could end your friend's life in an instant."
"683" "Tony Stark" "I gotta tell you, he's not really my friend. Saving his life is more a professional courtesy."
"684" "Ebony Maw" "You've saved nothing. Your powers are inconsequential compared to mine."
"685" "Tony Stark" "Yeah, but the kid's seen more movies."
"686" "None" "Iron Man fires a rocket from his shoulder which pierces the side of the ship to Maw's right and begins to suck everything out with depressurization, especially Maw and his large objects. Dr. Strange is pulled loose of his pinnings, loses the needles, but also heads for the hole, helpless to resist. The Cape wraps around his arm and an anchor point, but Dr. Strange's arm slips loose and he keeps going. Spider-Man shoots a web strand at Dr. Strange with one hand and holds onto a piece of the ship with the other. It breaks, sending them both towards space when his Iron-Spider suit's metal arms brace him to keep him from being sucked out. Fortunately, Dr. Strange is still surrounded by the ship's atmosphere making haste to leave."
"687" "Peter Parker" "Yes! Wait what are those?!"
"688" "None" "Spider-Man crouches with his new spider-legs, and makes a mighty leap to pulls them both back inside. Iron Man quickly sprays nanites onto the hole to plug it up. Dr. Strange safely, if emphatically, hits the floor. Ebony Maw is seen floating in space, quite dead, ice from the escaped atmosphere frosting over his grimace. Spider-Man lands on his new legs, retracts them, and finds the Cape standing next to him."
"689" "Peter Parker" "Hey, we haven't officially met.  Cool."
"690" "None" "Iron Man walks past Dr. Strange, shaking his head and with his armor retreating into its containment as Dr. Strange gets to his feet and becomes en-Cloaked."
"691" "Stephen Strange" "We've gotta turn this ship around."
"692" "Tony Stark" "Yeah. Now he wants to run. Great plan."
"693" "Stephen Strange" "No, I want to protect the stone."
"694" "None" "Tony walks towards the expansive front view-port, showing a hyper speed/warp effect."
"695" "Tony Stark" "And I want you to thank me now. Go ahead, I'm listening."
"696" "Stephen Strange" "For what? Nearly blasting me into space?"
"697" "Tony Stark" "Who just saved your magical ass? Me."
"698" "Stephen Strange" "I seriously don't know how you fit your head into that helmet."
"699" "Tony Stark" "Admit it. You should have ducked out when I told you to. I tried to bench you. You refused."
"700" "Stephen Strange" "Unlike everyone else in your life, I don't work for you."
"701" "Tony Stark" "And due to that fact, we're now in a flying doughnut billions of miles away from Earth with no backup."
"702" "None" "Seriously, these two's egos are a recipe for disaster."
"703" "Peter Parker" "I'm backup."
"704" "Tony Stark" "No. You're a stowaway.  The adults are talking."
"705" "Stephen Strange" "I'm sorry, I'm confused as to the relationship here. Wh-- what is he, your ward?"
"706" "Peter Parker" "No. I'm Peter, by the way."
"707" "Stephen Strange" "Dr. Strange."
"708" "Peter Parker" "Oh, we're using our made-up names. Um... I'm Spider-Man, then."
"709" "Tony Stark" "This ship is self-correcting its course. Thing's on autopilot."
"710" "Stephen Strange" "Can we control it? Fly us home?  Stark?"
"711" "Tony Stark" "Yeah?"
"712" "Stephen Strange" "Can you get us home?"
"713" "Tony Stark" "Yeah I heard you. I'm thinking... I'm not so sure we should."
"714" "Stephen Strange" "Under no circumstance can we bring the Time Stone to Thanos. I don't think you quite understand what's at stake here."
"715" "Tony Stark" "No. It's you who doesn't understand, that Thanos has been inside my head for six years since he sent an army to New York and now he's back! And I don't know what to do. So I'm not so sure if it's a better plan to fight him on our turf or his but you saw what they did, what they can do. At least on his turf, he's not expecting it. So I say we take the fight to him. Doctor. Do you concur?"
"716" "Stephen Strange" "Alright, Stark. We go to him. But you have to understand... if it comes to saving you or the kid or the Time Stone... I will not hesitate to let either of you die. I can't, because the fate of the universe depends on it."
"717" "Tony Stark" "Nice. Good. Moral compass. We're straight.  Alright, kid. You're an Avenger now."
"718" "None" "Peter looks at Tony in disbelief, and then cycles through delight, satisfaction, pride and determination, and braces himself for what's to come."
"719" "None" "Cut to Thanos' mother-ship, Sanctuary II, which dwarfs the massive ring-ships the Black Order have been using. Gamora sits near the throne deep inside the ship. Thanos walks up, bringing a cup of food and holds it out to her."
"720" "Thanos" "I thought you might be hungry."
"721" "None" "Gamora takes it, then hurls it across the room where it bangs against Thanos' throne with a loud clack."
"722" "Gamora" "I always hated that chair."
"723" "Thanos" "So I've been told. Even so. I'd hoped you'd sit on it one day."
"724" "Gamora" "I hated this room. This ship. I hated my life."
"725" "Thanos" "You told me that too.  Every day. For almost twenty years."
"726" "Gamora" "I was a child when you took me."
"727" "Thanos" "I saved you."
"728" "Gamora" "No. No. We were happy on my home planet."
"729" "Thanos" "Going to bed hungry, scrounging for scraps. Your planet was on the brink of collapse. I'm the one who stopped that. Do you know what's happened since then? The children born have known nothing but full bellies and clear skies. It's a paradise."
"730" "Gamora" "Because you murdered half the planet."
"731" "Thanos" "A small price to pay for salvation."
"732" "Gamora" "You're insane."
"733" "Thanos" "Little one, it's a simple calculus. This universe is finite, its resources finite. If life is left unchecked, life will cease to exist. It needs correction-"
"734" "Gamora" "YOU DON'T KNOW THAT."
"735" "Thanos" "I'm the only one who knows that. At least, I'm the only one with the will to act on it.  For a time... you had that same will... as you fought by my side. Daughter."
